schoolId,county,district,school,grades,prek,elementary,middle,high,website,Lat,Lng,address_short,parochial,max_tuition,sibling_discount,Pre-K,K,Grade 01,Grade 02,Grade 03,Grade 04,Grade 05,Grade 06,Grade 07,Grade 08,Grade 09,Grade 10,Grade 11,Grade 12
292,San Francisco,San Francisco Unified,Saint Monica School,K-8,,1,1,,https://www.stmonicasf.org/,37.780384,-122.48306,"5950 Geary Blvd., San Francisco",parochial, 10.9k,,, 10.9k, 10.9k, 10.9k, 10.9k, 10.9k, 10.9k, 10.9k, 10.9k, 10.9k,,,,
118,Contra Costa,John Swett Unified,St. Patrick School,K-8,1,1,1,,https://www.stpatrickschoolrodeo.org/,38.029076,-122.263291,"907 Seventh St., Rodeo",parochial, 13.4k,1, 9.4k, 9.4k, 9.4k, 9.4k, 9.4k, 9.4k, 9.4k, 9.4k, 9.4k, 9.4k,,,,
116,Contra Costa,Lafayette Elementary,St. Perpetua,K-8,,1,1,,https://www.stperpetuaschool.org/,37.881523,-122.112681,"3445 Hamlin Rd., Lafayette",parochial, 12.4k,1,, 12.4k, 12.4k, 12.4k, 12.4k, 12.4k, 12.4k,,,,,,,
317,San Francisco,San Francisco Unified,St. Peter’s School,K-8,,1,1,,https://www.stpeterssf.org/,37.751724,-122.41011,"1266 Florida St., San Francisco",parochial, 6.3k,1,, 6.3k, 6.3k, 6.3k, 6.3k, 6.3k, 6.3k, 6.3k, 6.3k, 6.3k,,,,
188,Marin,San Rafael City Elementary,Saint Raphael Elementary,K-8,,1,1,,https://www.straphaelschool.com/,37.974307,-122.527439,"1100 Fifth Ave., San Rafael",parochial, 11.6k,1,,, 11.6k, 11.6k, 11.6k, 11.6k, 11.6k,,,,,,,
320,San Francisco,San Francisco Unified,St. Thomas More,K-8,,1,1,,https://www.stthomasmoreschool.org/,37.7123,-122.47339,"50 Thomas More Way, San Francisco",parochial, 9.7k,,, 9.7k, 9.7k, 9.7k, 9.7k, 9.7k, 9.7k, 9.7k, 9.7k, 9.7k,,,,
37,Alameda,Berkeley Unified,The Academy,K-8,,1,1,,https://www.theacademyschool.org/,37.860797,-122.255026,"2722 Benvenue Ave., Berkeley",, 35.3k,,, 30.4k, 30.4k, 30.4k, 30.4k, 30.4k, 30.4k, 35.3k, 35.3k, 35.3k,,,,
336,San Francisco,San Francisco Unified,Town School for Boys,K-8,,1,1,,https://www.townschool.com/,37.792034,-122.44013,"2750 Jackson St., San Francisco",, 46.9k,,, 46.9k, 46.9k, 46.9k, 46.9k, 46.9k, 46.9k, 46.9k, 46.9k, 46.9k,,,,
135,Contra Costa,Walnut Creek Elementary,Walnut Creek Christian Academy,K-8,,1,1,,https://www.wccaeagles.org/,37.911277,-122.069921,"2336 Buena Vista Ave., Walnut Creek",parochial, 10.8k,1,, 10.3k, 10.8k, 10.8k, 10.8k, 10.8k, 10.8k, 10.8k, 10.8k, 10.8k,,,,
140,Contra Costa,Mt. Diablo Unified,Wood Rose Academy,K-8,,1,1,,https://www.woodroseacademy.org/,37.952702,-121.997749,"4347 Cowell Rd., Concord",parochial, 18.2k,1, 18.2k, 10.6k, 10.6k, 10.6k, 10.6k, 10.6k, 10.6k, 10.6k, 10.6k, 10.6k,,,,
338,San Francisco,San Francisco Unified,West Portal Lutheran School,K-8,,1,1,,https://www.wplsf.com/,37.735092,-122.474,"200 Sloat Blvd, San Francisco",parochial, 10.0k,,, 10.0k, 10.0k, 10.0k, 10.0k, 10.0k, 10.0k, 10.0k, 10.0k, 10.0k,,,,
339,San Francisco,San Francisco Unified,Zion Lutheran School,K-8,,1,1,,https://www.zionsfschool.org/,37.77924,-122.467636,"495 9th Ave., San Francisco",parochial, 11.3k,,, 11.3k, 11.3k, 11.3k, 11.3k, 11.3k, 11.3k, 11.3k, 11.3k, 11.3k,,,,
105,Alameda,Hayward Unified,Northstar School,"K-8, pre-K",1,1,1,,https://northstarschool.org/,37.688783,-122.054175,"22502 Woodroe Ave., Hayward",parochial, 11.5k,1, 11.5k, 9.4k, 9.4k, 9.4k, 9.4k, 9.4k, 9.4k, 9.4k, 9.4k, 9.4k,,,,
182,Contra Costa,Walnut Creek Elementary,St. Mary Catholic School,"K-8, pre-K",1,1,1,,https://st-mary.net/,37.895715,-122.067147,"1158 Bont Ln, Walnut Creek",parochial, 11.1k,, 11.1k, 11.1k, 11.1k, 11.1k, 11.1k, 11.1k, 11.1k, 11.1k, 11.1k, 11.1k,,,,
139,Contra Costa,Martinez Unified,St. Catherine of Siena,"K-8, pre-K",1,1,1,,https://stcatherinemartinez.com/,38.014517,-122.134921,"604 Mellus St., Martinez",parochial, 10.6k,1, 9.9k, 10.6k, 10.6k, 10.6k, 10.6k, 10.6k, 10.6k, 10.6k, 10.6k, 10.6k,,,,
308,San Francisco,San Francisco Unified,St. Cecilia Elementary,"K-8, pre-K",1,1,1,,https://stceciliaschool.org/,37.739502,-122.4739,"660 Vicente St., San Francisco",parochial, 10.5k,1, 10.5k, 9.8k, 9.8k, 9.8k, 9.8k, 9.8k, 9.8k, 9.8k, 9.8k, 9.8k,,,,
131,Alameda,San Lorenzo Unified,St. Felicitas Catholic School,"K-8, pre-K",1,1,1,,https://stfelicitas-school.org/,37.690835,-122.158284,"1650 Manor Blvd., San Leandro",parochial, 11.8k,1, 11.8k, 10.7k, 10.9k, 10.9k, 10.9k, 10.9k, 10.9k, 10.9k, 10.9k, 10.9k,,,,
328,San Francisco,San Francisco Unified,Synergy School,"K-8, pre-K",1,1,1,,https://synergyschool.org/,37.750885,-122.42033,"1387 Valencia St., San Francisco",, 29.8k,, 27.6k, 27.6k, 27.6k, 27.6k, 27.6k, 27.6k, 27.6k, 29.8k, 29.8k, 29.8k,,,,
120,Alameda,Hayward Unified,All Saints Catholic School,"K-8, pre-K",1,1,1,,https://www.ascshayward.org/,37.672534,-122.076183,"22870 Second St., Hayward",parochial, 11.9k,1, 11.4k, 11.4k, 11.9k, 11.9k, 11.9k, 11.9k, 11.9k, 11.5k, 11.5k, 11.5k,,,,
215,San Mateo,Ravenswood City Elementary,Beechwood School,"K-8, pre-K",1,1,1,,https://www.beechwoodschool.org/,37.478798,-122.168171,"50 Terminal Ave., Menlo Park",, 2.9k,, 2.4k, 2.9k, 2.9k, 2.9k, 2.9k, 2.9k, 2.9k, 2.9k, 2.9k, 2.9k,,,,
41,Alameda,Berkeley Unified,Berkeley Rose Waldorf School,"K-8, pre-K",1,1,1,,https://www.berkeleyrose.org/,37.864905,-122.255822,"2515 Hillegass Ave., Berkeley",, 32.2k,, 21.2k, 21.2k, 28.2k, 28.2k, 28.2k, 28.2k, 28.2k, 32.2k, 32.2k, 32.2k,,,,
252,San Francisco,San Francisco Unified,Chinese American International School,"K-8, pre-K",1,1,1,,https://www.cais.org/,37.78188,-122.423645,"888 Turk St., San Francisco",, 42.6k,, 39.6k, 42.6k, 42.6k, 42.6k, 42.6k, 42.6k, 42.6k, 42.6k, 42.6k, 42.6k,,,,
251,San Francisco,San Francisco Unified,Children’s Day School,"K-8, pre-K",1,1,1,,https://www.cds-sf.org/,37.764256,-122.4252,"333 Dolores St., San Francisco",, 45.6k,, 44.8k, 44.8k, 44.8k, 44.8k, 44.8k, 44.8k, 45.6k, 45.6k, 45.6k, 45.6k,,,,
56,Alameda,Newark Unified,Challenger School – Ardenwood,"K-8, pre-K",1,1,1,,https://www.challengerschool.com/,37.547105,-122.054004,"35487 Dumbarton Ct., Newark",, 27.1k,, 25.8k, 24.3k, 25.0k, 25.0k, 25.0k, 25.0k, 25.0k, 27.1k, 27.1k, 27.1k,,,,
254,San Francisco,San Francisco Unified,Cornerstone Academy,"K-8, pre-K",1,1,1,,https://www.cornerstone-academy.net/,37.729443,-122.41835,"801 Silver Ave., San Francisco",, 21.8k,, 21.8k, 16.8k, 16.8k, 16.8k, 16.8k, 16.8k, 16.8k, 16.8k, 16.8k, 16.8k,,,,
19,Alameda,Berkeley Unified,Ecole Bilingue De Berkeley,"K-8, pre-K",1,1,1,,https://www.eb.org/,37.854241,-122.28936,"1009 Heinz Ave., Berkeley",, 41.2k,, 36.6k, 36.6k, 37.4k, 37.4k, 37.4k, 37.4k, 37.4k, 41.2k, 41.2k, 41.2k,,,,
22,Alameda,Oakland Unified,Escuela Bilingüe Internacional,"K-8, pre-K",1,1,1,,https://www.ebinternacional.org/,37.850875,-122.256891,"410 Alcatraz Ave., Oakland",, 40.0k,, 31.9k, 37.3k, 37.3k, 37.3k, 37.3k, 37.3k, 37.3k, 40.0k, 40.0k, 40.0k,,,,
226,San Mateo,San Mateo-Foster City,Episcopal Day School of St. Matthew,"K-8, pre-K",1,1,1,,https://www.episcopaldaysanmateo.org/,37.565464,-122.327284,"16 Baldwin Ave., San Mateo",parochial, 45.3k,, 32.5k, 41.8k, 41.8k, 41.8k, 41.8k, 41.8k, 45.3k, 45.3k, 45.3k, 45.3k,,,,
261,San Francisco,San Francisco Unified,"German International School of Silicon Valley, San Francisco Campus","K-8, pre-K",1,1,1,,https://www.gissv.org/gissv-home-english/admissions/tuition-fees/san-francisco-campus,37.760124,-122.4368,"117 Diamond St., San Francisco",, 39.1k,, 39.1k, 39.1k, 31.5k, 31.5k, 31.5k, 31.5k, 34.7k, 34.7k, 34.7k, 34.7k,,,,
262,San Francisco,San Francisco Unified,Golden Bridges School,"K-8, pre-K",1,1,1,,https://www.goldenbridgesschool.org/,37.72458,-122.41695,"503 Cambridge St., San Francisco",, 33.7k,, 30.3k, 33.1k, 33.7k, 33.7k, 33.7k, 33.7k, 33.7k, 33.7k, 33.7k, 33.7k,,,,
78,Marin,Novato Unified,Good Shepherd Lutheran School,"K-8, pre-K",1,1,1,,https://www.gslsnovato.org/,38.081148,-122.557284,"1180 Lynwood Dr, Novato",parochial, 17.6k,1, 16.5k, 15.1k, 15.1k, 15.1k, 15.1k, 15.1k, 15.1k, 17.6k, 17.6k, 17.6k,,,,
274,San Francisco,San Francisco Unified,La Scuola International School,"K-8, pre-K",1,1,1,,https://www.lascuolasf.org/,37.76232,-122.41644,"3250 18th St., San Francisco",, 45.9k,, 43.2k, 43.8k, 43.8k, 43.8k, 43.8k, 43.8k, 43.8k, 45.9k, 45.9k, 45.9k,,,,
12,Marin,Mill Valley Elementary,Marin Horizon School,"K-8, pre-K",1,1,1,,https://www.marinhorizon.org/,37.896671,-122.543746,"305 Montford Ave., Mill Valley",, 46.9k,, 35.2k, 42.8k, 42.8k, 42.8k, 42.8k, 42.8k, 45.1k, 45.1k, 45.1k, 46.9k,,,,
11,Marin,Larkspur-Corte Madera,Marin Primary and Middle School,"K-8, pre-K",1,1,1,,https://www.mpms.org/,37.928624,-122.532353,"20 Magnolia Ave., Larkspur",, 47.6k,, 40.5k, 42.4k, 43.7k, 43.7k, 43.7k, 43.7k, 46.4k, 46.4k, 46.4k, 47.6k,,,,
106,Contra Costa,Mt. Diablo Unified,NorthCreek Academy,"K-8, pre-K",1,1,1,,https://www.ncapschool.org/,37.922539,-122.027979,"2303 Ygnacio Valley Rd., Ste. A, Walnut Creek",, 12.6k,1, 5.3k, 8.8k, 12.2k, 12.2k, 12.2k, 12.2k, 12.2k, 12.6k, 12.6k, 12.6k,,,,
84,Alameda,Oakland Unified,Northern Light School,"K-8, pre-K",1,1,1,,https://www.northernlightschool.com/,37.757752,-122.144657,"3710 Dorisa Ave, Oakland",, 16.6k,1, 15.6k, 15.6k, 15.6k, 15.6k, 15.6k, 15.6k, 15.6k, 16.6k, 16.6k, 16.6k,,,,
36,Alameda,Oakland Unified,Oakland Hebrew Day School,"K-8, pre-K",1,1,1,,https://www.ohds.org/,37.797674,-122.169932,"5500 Redwood Rd., Oakland",parochial, 33.5k,, 23.7k, 32.2k, 32.2k, 32.2k, 32.2k, 32.2k, 32.2k, 33.5k, 33.5k, 33.5k,,,,
285,San Francisco,San Francisco Unified,Presidio Hill School,"K-8, pre-K",1,1,1,,https://www.presidiohill.org/,37.78858,-122.45606,"3839 Washington St., San Francisco",, 42.4k,, 41.3k, 41.3k, 41.3k, 41.3k, 42.4k, 42.4k, 42.4k, 42.4k, 42.4k, 42.4k,,,,
28,Contra Costa,West Contra Costa Unified,Prospect Sierra School,"K-8, pre-K",1,1,1,,https://www.prospectsierra.org/,37.915028,-122.298529,"960 Avis Dr., El Cerrito",, 38.9k,, 27.7k, 34.3k, 34.3k, 34.3k, 34.3k, 34.3k, 38.9k, 38.9k, 38.9k, 38.9k,,,,
178,Contra Costa,Moraga Elementary,The Saklan School,"K-8, pre-K",1,1,1,,https://www.saklan.org/,37.833203,-122.133092,"1678 School St., Moraga",, 37.3k,, 22.0k, 31.7k, 31.7k, 31.7k, 31.7k, 31.7k, 31.7k, 37.3k, 37.3k, 37.3k,,,,
40,Contra Costa,Walnut Creek Elementary,The Seven Hills School,"K-8, pre-K",1,1,1,,https://www.sevenhillsschool.org/,37.92233,-122.048899,"975 North San Carlos Dr., Walnut Creek",, 39.2k,, 34.8k, 34.8k, 34.8k, 34.8k, 34.8k, 34.8k, 39.2k, 39.2k, 39.2k, 39.2k,,,,
334,San Francisco,San Francisco Unified,The San Francisco School,"K-8, pre-K",1,1,1,,https://www.sfschool.org/,37.72168,-122.410832,"300 Gavin Sreet, San Francisco",, 43.8k,, 41.4k, 41.4k, 41.4k, 41.4k, 41.4k, 41.4k, 41.4k, 43.8k, 43.8k, 43.8k,,,,
103,Contra Costa,San Ramon Valley Unified,San Ramon Valley Christian Academy,"K-8, pre-K",1,1,1,,https://www.srvca.org/,37.824773,-121.998499,"220 West El Pintado Rd., Danville",parochial, 12.9k,1, 8.0k, 12.6k, 12.6k, 12.6k, 12.6k, 12.6k, 12.6k, 12.9k, 12.9k, 12.9k,,,,
184,Contra Costa,West Contra Costa Unified,St. David School,"K-8, pre-K",1,1,1,,https://www.stdavidschool.org/,37.947384,-122.321758,"871 Sonoma St., Richmond",parochial, 11.0k,1, 11.0k, 9.7k, 9.7k, 9.7k, 9.7k, 9.7k, 9.7k, 9.7k, 9.7k, 9.7k,,,,
121,Contra Costa,West Contra Costa Unified,St. John the Baptist,"K-8, pre-K",1,1,1,,https://www.stjohnec.org/,37.919642,-122.313762,"11156 San Pablo Ave., El Cerrito",parochial, 11.0k,1, 10.7k, 10.7k, 10.7k, 10.7k, 10.7k, 10.7k, 10.7k, 11.0k, 11.0k, 11.0k,,,,
111,Contra Costa,West Contra Costa Unified,St. Joseph School,"K-8, pre-K",1,1,1,,https://www.stjosephpinole.org/,38.002909,-122.291861,"1961 Plum St., Pinole",parochial, 11.3k,1, 10.4k,, 10.8k, 10.8k, 10.8k, 10.8k, 10.8k, 11.3k, 11.3k, 11.3k,,,,
110,Alameda,Fremont Unified,St. Joseph School,"K-8, pre-K",1,1,1,,https://www.stjosephschoolfremont.org/,37.534938,-121.919016,"43222 Mission Blvd., Fremont",parochial, 11.3k,, 11.3k, 10.0k, 10.0k, 10.0k, 10.0k, 10.0k, 10.0k, 10.0k, 10.0k, 10.0k,,,,
48,Alameda,Fremont Unified,Stratford School Fremont Osgood,"K-8, pre-K",1,1,1,,https://www.stratfordschools.com/schools/northern-california/east-bay/fremont-osgood/,37.520967,-121.947322,"43077 Osgood Rd., Fremont",, 30.8k,, 27.2k, 24.0k, 25.8k, 25.8k, 25.8k, 25.8k, 25.8k, 30.8k, 30.8k, 30.8k,,,,
211,San Mateo,Menlo Park City Elementary,St. Raymond School,"K-8, pre-K",,1,1,,https://www.straymond.org/,37.447321,-122.189872,"1211 Arbor Rd., Menlo Park",parochial, 16.7k,1,, 16.4k, 16.5k, 16.5k, 16.5k, 16.5k, 16.5k, 16.7k, 16.7k, 16.7k,,,,
100,Alameda,Dublin Unified,St. Raymond School,"K-8, pre-K",1,1,1,,https://www.straymondschool.org/,37.713955,-121.940326,"11557 Shannon Ave., Dublin",parochial, 16.7k,1, 13.4k, 12.0k, 12.0k, 12.0k, 12.0k, 12.0k, 12.0k, 12.1k, 12.1k, 12.1k,,,,
9,San Mateo,Redwood City Elementary,Synapse School,"K-8, pre-K",1,1,1,,https://www.synapseschool.org/,37.476738,-122.199347,"3375 Edison Way, Menlo Park",, 48.8k,, 40.4k, 40.4k, 42.9k, 42.9k, 42.9k, 42.9k, 48.8k, 48.8k, 48.8k, 48.8k,,,,
146,Contra Costa,Mt. Diablo Unified,"Tabernacle Christian, Inc.","K-8, pre-K",1,1,1,,https://www.tabernacle.school/,37.974823,-121.985097,"4380 Concord Blvd., Concord",parochial, 9.1k,1, 9.0k, 8.0k, 8.7k, 8.7k, 8.7k, 8.7k, 8.7k, 9.1k, 9.1k, 9.1k,,,,
31,Alameda,Berkeley Unified,The Berkeley School,"K-8, pre-K",1,1,1,,https://www.theberkeleyschool.org/unlistedgclid=Cj0KCQiAn-2tBhDVARIsAGmStVmJZkXZOVKftGKVmRGSZ-mN9OX3Ka4mJklfrc4J8h0yvH8Q2ZXobicaAqIyEALw_wcB,37.869342,-122.286228,"1310 University Ave., Berkeley",, 38.2k,, 28.5k, 35.4k, 35.4k, 35.4k, 35.4k, 35.4k, 35.4k, 38.2k, 38.2k, 38.2k,,,,
208,San Mateo,Las Lomitas Elementary,Woodland,"K-8, pre-K",1,1,1,,https://www.woodland-school.org/,37.403092,-122.197368,"360 La Cuesta Dr, Portola Valley",, 44.5k,, 34.5k, 39.1k, 39.1k, 39.1k, 39.1k, 39.1k, 41.3k, 41.3k, 41.3k, 44.5k,,,,
229,San Mateo,San Mateo-Foster City,Ronald C. Wornick Jewish Day School,"K-8, pre-K",1,1,1,,https://www.wornickjds.org/,37.55834,-122.266745,"800 Foster City Blvd., Bldg. 830, Foster City",parochial, 42.0k,, 34.8k, 40.6k, 34.8k, 34.8k, 34.8k, 35.6k, 35.6k, 40.6k, 40.6k, 42.0k,,,,
149,Contra Costa,Mt. Diablo Unified,Ygnacio Valley Christian School,"K-8, pre-K",1,1,1,,https://yvcschool.org/,37.946512,-121.968201,"1092 Alberta Way, Concord",parochial, 9.3k,1, 8.1k, 8.6k, 8.9k, 8.9k, 8.9k, 8.9k, 8.9k, 9.3k, 9.3k, 9.3k,,,,
1,Marin,Larkspur-Corte Madera,Marin Montessori School,"K-9, pre-K",1,1,1,1,https://www.marinmontessori.org/,37.920136,-122.49059,"5200 Paradise Dr., Corte Madera",, 40.0k,, 37.3k, 37.3k, 38.0k, 38.0k, 38.0k, 38.0k, 38.0k, 38.0k, 40.0k, 40.0k, 40.0k,,,
258,San Francisco,San Francisco Unified,Eureka Learning Center,"K, pre-K",1,1,,,https://eurekalearningcenter.com/,37.754967,-122.437004,"464 Diamond St., San Francisco",, 20.8k,, 20.8k,,,,,,,,,,,,,
47,Alameda,Oakland Unified,Growing Light Montessori School,"K, pre-K",1,1,,,https://growinglight.net/,37.809869,-122.200602,"4700 Lincoln Ave., Oakland",, 33.8k,, 33.8k, 33.8k,,,,,,,,,,,,
58,Alameda,Newark Unified,Challenger School - Newark,"K, pre-K",1,1,,,https://www.challengerschool.com/,37.521851,-121.998043,"39600 Cedar Blvd., Newark",, 25.8k,, 25.8k, 25.8k,,,,,,,,,,,,
45,Contra Costa,Lafayette Elementary,Diablo Valley Montessori,"K, pre-K",1,1,,,https://www.dvms.org/,37.896942,-122.108081,"3390 Deer Hill Rd., Lafayette",, 36.9k,, 36.9k, 20.1k,,,,,,,,,,,,
52,Alameda,Fremont Unified,Stratford School Fremont Boulevard,"K, pre-K",1,1,,,https://www.stratfordschools.com/schools/northern-california/east-bay/fremont-boulevard/,37.550699,-121.994193,"38495 Fremont Blvd., Fremont",, 27.2k,, 27.2k, 24.0k,,,,,,,,,,,,
209,San Mateo,Menlo Park City Elementary,Nativity Catholic School,"K-8, pre-K",1,1,1,,https://nativityschool.com/,37.458155,-122.182525,"1250 Laurel St., Menlo Park",parochial, 11.4k,, 11.4k, 11.4k, 11.4k, 11.4k, 11.4k, 11.4k, 11.4k, 11.4k, 11.4k, 11.4k,,,,
235,San Mateo,Sequoia Union High,Menlo School,6-12,,,1,1,https://www.menloschool.org/,37.453589,-122.190854,"50 Valparaiso Ave., Atherton",, 63.5k,,,,,,,,, 63.5k, 63.5k, 63.5k, 63.5k, 63.5k, 63.5k, 63.5k
96,Alameda,Alameda Unified,St. Philip Neri Catholic School,"K-8, pre-K",1,1,1,,https://www.spnalameda.org/,37.757348,-122.233419,"1335 High St., Alameda",parochial, 15.5k,1, 15.5k, 11.0k, 11.0k, 11.0k, 11.0k, 11.0k, 11.0k, 11.1k, 11.1k, 11.1k,,,,
